Stage,Round,Date,Team 1,FT,Team 2
Regular Season,17,Sat Dec 7 2019,Motherwell FC,1-0,Heart of Midlothian FC
Regular Season,18,Sat Dec 14 2019,Saint Mirren FC,3-3,Livingston FC
Regular Season,18,Sat Dec 14 2019,Ross County FC,1-0,Kilmarnock FC
Regular Season,18,Sat Dec 14 2019,Heart of Midlothian FC,0-1,St Johnstone FC
Regular Season,18,Sat Dec 14 2019,Aberdeen FC,1-0,Hamilton Academical FC
Regular Season,18,Sun Dec 15 2019,Motherwell FC,0-2,Rangers FC
Regular Season,18,Sun Dec 15 2019,Celtic FC,2-0,Hibernian FC
Regular Season,12,Wed Dec 18 2019,Heart of Midlothian FC,0-2,Celtic FC
Regular Season,19,Fri Dec 20 2019,Hibernian FC,0-3,Rangers FC
Regular Season,19,Sat Dec 21 2019,Livingston FC,4-0,Ross County FC
Regular Season,19,Sat Dec 21 2019,St Johnstone FC,0-0,Saint Mirren FC
Regular Season,19,Sat Dec 21 2019,Celtic FC,2-1,Aberdeen FC
Regular Season,19,Sat Dec 21 2019,Hamilton Academical FC,2-1,Heart of Midlothian FC
Regular Season,19,Sat Dec 21 2019,Kilmarnock FC,0-1,Motherwell FC
Regular Season,20,Thu Dec 26 2019,Rangers FC,1-0,Kilmarnock FC
Regular Season,20,Thu Dec 26 2019,Saint Mirren FC,1-2,Celtic FC
Regular Season,20,Thu Dec 26 2019,Heart of Midlothian FC,0-2,Hibernian FC
Regular Season,20,Thu Dec 26 2019,Aberdeen FC,2-1,Livingston FC
Regular Season,20,Thu Dec 26 2019,Hamilton Academical FC,0-1,St Johnstone FC
Regular Season,20,Thu Dec 26 2019,Ross County FC,1-2,Motherwell FC
Regular Season,21,Sun Dec 29 2019,Motherwell FC,1-2,Hamilton Academical FC
Regular Season,21,Sun Dec 29 2019,Saint Mirren FC,1-0,Kilmarnock FC
Regular Season,21,Sun Dec 29 2019,Celtic FC,1-2,Rangers FC
Regular Season,21,Sun Dec 29 2019,Heart of Midlothian FC,1-1,Aberdeen FC
Regular Season,21,Sun Dec 29 2019,Livingston FC,2-0,Hibernian FC
Regular Season,21,Sun Dec 29 2019,St Johnstone FC,1-1,Ross County FC
Regular Season,22,Wed Jan 22 2020,Rangers FC,1-0,Saint Mirren FC
Regular Season,22,Wed Jan 22 2020,Ross County FC,0-0,Heart of Midlothian FC
Regular Season,22,Wed Jan 22 2020,Aberdeen FC,0-1,Motherwell FC
Regular Season,22,Wed Jan 22 2020,Hibernian FC,2-1,Hamilton Academical FC
Regular Season,22,Wed Jan 22 2020,Livingston FC,1-0,St Johnstone FC
Regular Season,22,Wed Jan 22 2020,Kilmarnock FC,1-3,Celtic FC
Regular Season,23,Sat Jan 25 2020,Hamilton Academical FC,2-4,Livingston FC
Regular Season,23,Sat Jan 25 2020,Motherwell FC,0-0,Hibernian FC
Regular Season,23,Sat Jan 25 2020,Celtic FC,3-0,Ross County FC
Regular Season,23,Sat Jan 25 2020,St Johnstone FC,2-1,Kilmarnock FC
Regular Season,23,Sun Jan 26 2020,Heart of Midlothian FC,2-1,Rangers FC
Regular Season,23,Sun Jan 26 2020,Saint Mirren FC,0-0,Aberdeen FC
Regular Season,17,Wed Jan 29 2020,St Johnstone FC,0-3,Celtic FC
Regular Season,17,Wed Jan 29 2020,Rangers FC,2-0,Ross County FC
Regular Season,24,Sat Feb 1 2020,Livingston FC,1-0,Motherwell FC
Regular Season,24,Sat Feb 1 2020,Kilmarnock FC,3-1,Ross County FC
Regular Season,24,Sat Feb 1 2020,Hibernian FC,2-2,Saint Mirren FC
Regular Season,24,Sat Feb 1 2020,Rangers FC,0-0,Aberdeen FC
Regular Season,24,Sat Feb 1 2020,St Johnstone FC,3-3,Heart of Midlothian FC
Regular Season,24,Sun Feb 2 2020,Hamilton Academical FC,1-4,Celtic FC
Regular Season,25,Wed Feb 5 2020,Aberdeen FC,0-1,St Johnstone FC
Regular Season,25,Wed Feb 5 2020,Heart of Midlothian FC,2-3,Kilmarnock FC
Regular Season,25,Wed Feb 5 2020,Motherwell FC,0-4,Celtic FC
Regular Season,25,Wed Feb 5 2020,Rangers FC,2-1,Hibernian FC
Regular Season,25,Wed Feb 5 2020,Saint Mirren FC,1-1,Hamilton Academical FC
Regular Season,25,Wed Feb 5 2020,Ross County FC,2-0,Livingston FC
Regular Season,26,Tue Feb 11 2020,Hamilton Academical FC,1-3,Aberdeen FC
Regular Season,26,Wed Feb 12 2020,Celtic FC,5-0,Heart of Midlothian FC
Regular Season,26,Wed Feb 12 2020,Hibernian FC,3-0,Ross County FC
Regular Season,26,Wed Feb 12 2020,St Johnstone FC,2-1,Motherwell FC
Regular Season,26,Wed Feb 12 2020,Livingston FC,2-1,Saint Mirren FC
Regular Season,26,Wed Feb 12 2020,Kilmarnock FC,2-1,Rangers FC
Regular Season,27,Sat Feb 15 2020,Ross County FC,1-1,St Johnstone FC
Regular Season,27,Sat Feb 15 2020,Heart of Midlothian FC,2-2,Hamilton Academical FC
Regular Season,27,Sun Feb 16 2020,Aberdeen FC,1-2,Celtic FC
Regular Season,27,Sun Feb 16 2020,Rangers FC,1-0,Livingston FC
Regular Season,27,Sun Feb 16 2020,Kilmarnock FC,1-2,Hibernian FC
Regular Season,28,Sat Feb 22 2020,Hibernian FC,1-1,Livingston FC
Regular Season,28,Sat Feb 22 2020,Aberdeen FC,1-2,Ross County FC
Regular Season,28,Sat Feb 22 2020,Hamilton Academical FC,0-0,Motherwell FC
Regular Season,28,Sun Feb 23 2020,Celtic FC,3-1,Kilmarnock FC
Regular Season,28,Sun Feb 23 2020,St Johnstone FC,2-2,Rangers FC
Regular Season,27,Tue Feb 25 2020,Motherwell FC,1-2,Saint Mirren FC
Regular Season,29,Tue Mar 3 2020,Hibernian FC,1-3,Heart of Midlothian FC
Regular Season,29,Wed Mar 4 2020,Saint Mirren FC,0-0,St Johnstone FC
Regular Season,29,Wed Mar 4 2020,Kilmarnock FC,2-2,Aberdeen FC
Regular Season,29,Wed Mar 4 2020,Rangers FC,0-1,Hamilton Academical FC
Regular Season,29,Wed Mar 4 2020,Motherwell FC,4-1,Ross County FC
Regular Season,29,Wed Mar 4 2020,Livingston FC,2-2,Celtic FC
Regular Season,30,Sat Mar 7 2020,St Johnstone FC,1-0,Livingston FC
Regular Season,30,Sat Mar 7 2020,Heart of Midlothian FC,1-1,Motherwell FC
Regular Season,30,Sat Mar 7 2020,Celtic FC,5-0,Saint Mirren FC
Regular Season,30,Sat Mar 7 2020,Hamilton Academical FC,1-0,Kilmarnock FC
Regular Season,30,Sat Mar 7 2020,Aberdeen FC,3-1,Hibernian FC
Regular Season,30,Sun Mar 8 2020,Ross County FC,0-1,Rangers FC
Regular Season,28,Wed Mar 11 2020,Saint Mirren FC,1-0,Heart of Midlothian FC
Regular Season,31,Fri Mar 13 2020,Motherwell FC,,Aberdeen FC
Regular Season,31,Sat Mar 14 2020,Ross County FC,,Hamilton Academical FC
Regular Season,31,Sat Mar 14 2020,Kilmarnock FC,,Saint Mirren FC
Regular Season,31,Sat Mar 14 2020,Hibernian FC,,St Johnstone FC
Regular Season,31,Sun Mar 15 2020,Rangers FC,,Celtic FC
Regular Season,31,Sun Mar 15 2020,Livingston FC,,Heart of Midlothian FC
Regular Season,32,Sat Mar 21 2020,Celtic FC,,St Johnstone FC
Regular Season,32,Sat Mar 21 2020,Hamilton Academical FC,,Hibernian FC
Regular Season,32,Sat Mar 21 2020,Motherwell FC,,Kilmarnock FC
Regular Season,32,Sat Mar 21 2020,Livingston FC,,Aberdeen FC
Regular Season,32,Sat Mar 21 2020,Heart of Midlothian FC,,Ross County FC
Regular Season,32,Sun Mar 22 2020,Saint Mirren FC,,Rangers FC
Regular Season,33,Fri Apr 3 2020,Aberdeen FC,,Heart of Midlothian FC
Regular Season,33,Sat Apr 4 2020,Kilmarnock FC,,Livingston FC
Regular Season,33,Sat Apr 4 2020,St Johnstone FC,,Hamilton Academical FC
Regular Season,33,Sat Apr 4 2020,Ross County FC,,Saint Mirren FC
Regular Season,33,Sat Apr 4 2020,Rangers FC,,Motherwell FC
Regular Season,33,Sun Apr 5 2020,Hibernian FC,,Celtic FC
